Patient,Session,File,Motion Mean,Motion Std,Motion Max,Motion Min,Motion P10,Motion P50,Motion P90,Jacobian Mean,Jacobian Std,Jacobian Min,Jacobian % Negative,Harmonic Energy,QA_JAC0,QA_JAC2,QA_HE,QA_Passed
pt002,MR1,002_to_001_warp.nii.gz,1.0740683567638991,1.4644906847654218,6.457606786278562,0.0017606022376283512,0.10563167062467073,0.3949746409752105,3.329834231648629,1.0418230395080401,0.6979604548884327,-0.6759713043458913,1.8310546875e-05,0.6013613855129564,False,True,True,False
pt002,MR1,003_to_002_warp.nii.gz,1.0142644301622352,1.4828926786338819,8.362675518137122,0.0008787511879418724,0.08568178290960646,0.3067175224639228,3.303584485052133,1.04200769907477,0.6869732239739053,-0.44514483961442725,4.150390625e-05,0.5738711599099615,False,True,True,False
pt002,MR1,004_to_003_warp.nii.gz,1.1700930546795603,1.4731580581040866,6.932349245854295,0.0018121289857947354,0.10011339779267012,0.45403283581309806,3.385165970659293,1.0415186496289972,0.708572221251785,-0.4718130736909017,2.8076171875e-05,0.6158080079905512,False,True,True,False
pt002,MR1,005_to_004_warp.nii.gz,1.05624025470215,1.4879896724841193,8.807490352471534,0.0008949743742264991,0.09097806891877623,0.34412844825281175,3.36713955033642,1.0412234608771174,0.6978472683009892,-1.0954894606330243,5.55419921875e-05,0.6103646050207339,False,True,True,False
pt002,MR1,006_to_005_warp.nii.gz,1.1136166198495272,1.485523873766813,8.673388420484285,0.001112528010720976,0.09506650209482861,0.39949843532934237,3.3902685149944283,1.0405015852499258,0.7039798430707274,-1.0299733262004023,7.2021484375e-05,0.6243085318867796,False,True,True,False
pt002,MR1,007_to_006_warp.nii.gz,1.0213344943197145,1.494771110327755,11.61763746770969,0.001429239391306392,0.08558610633537288,0.3005226596063383,3.3304159602359666,1.0421761520566037,0.6916188190853623,-0.3449819535315185,3.90625e-05,0.5844990233826389,False,True,True,False
pt002,MR1,008_to_007_warp.nii.gz,1.074164065364991,1.488309681904101,8.73423567529141,0.0017948693286074702,0.090425398492368,0.35988408420785845,3.3651809563060837,1.0406948970496197,0.6915392220039448,-0.8007365517098787,4.2724609375e-05,0.5950974470053033,False,True,True,False
pt002,MR1,009_to_008_warp.nii.gz,1.0282247774874547,1.489647639757056,11.299781282711578,0.0006860549226981792,0.09188735087121293,0.3166900717452953,3.332376763898349,1.0419308887878542,0.6865747285836417,-0.32160051165748105,2.01416015625e-05,0.5843859430275719,False,True,True,False
pt002,MR1,010_to_009_warp.nii.gz,1.0116612538224405,1.4906962594753603,8.147184591631353,0.001188065180768631,0.08667642035201478,0.2907678444368868,3.3122638800172526,1.04208601082923,0.6856109528122813,-0.397818864559502,2.50244140625e-05,0.5695871487873849,False,True,True,False
pt002,MR1,011_to_010_warp.nii.gz,1.013342705915777,1.477479429807919,7.015773786542365,0.0011622569679503975,0.08731025653046824,0.3145175793897691,3.3067911326862904,1.0420126896943072,0.6801007813529638,-0.13839000469548557,1.28173828125e-05,0.5564726635499607,False,True,True,False
