Model,Total DVFs,Passed All QA,Failed JAC0,Failed JAC2,Failed HE,Average Motion Mean (mm),Average Harmonic Energy,Average Jacobian % Negative,QA Pass Rate (%)
MSE,954,105,849,0,0,0.9729821857296467,0.46012211503493,0.00023836211838312366,11.0062893081761
MSE + seg + DICE,954,76,878,0,0,0.9748526766253545,0.46161676804770974,0.0002915932197490828,7.966457023060797
NCC + MI,954,116,838,0,0,1.008872030629484,0.5668085995767416,4.018531655365566e-05,12.159329140461216
NCC + DICE,954,109,845,0,0,0.9645248377375836,0.5090715456224847,4.228699882075472e-05,11.425576519916143
NCC + MI + DICE,954,97,857,0,0,1.0242402227342016,0.5868259807308509,4.37821682144261e-05,10.167714884696016
