threshold,pt001_MR1,pt001_MR2,pt001_MR3,pt002_MR1,pt002_MR2,pt002_MR3,pt011_MR1,pt011_MR2,pt022_MR1,pt022_MR2,pt022_MR3
0.055173496433482405,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875
0.07652624010096559,99.995390625,99.90656249999999,99.90656249999999,98.195703125,98.75640625,95.603125,98.08242187500001,99.95367187500001,99.93078125,99.03375,97.428515625
0.09787898376844878,99.95343749999999,97.918203125,97.918203125,90.57656250000001,92.31796875,84.064375,90.15929687500001,99.086328125,99.019375,93.349296875,89.878515625
0.11923172743593198,99.66859375,92.9896875,92.9896875,83.162890625,84.57234375,71.50828125,83.2696875,96.627890625,96.40132812499999,86.62875,82.679140625
0.14058447110341515,98.66328125,87.48851562499999,87.48851562499999,76.935703125,76.5846875,62.018828125000006,76.7546875,93.48273437499999,93.075078125,80.29078125,76.869921875
0.16193721477089834,96.76593749999999,82.274140625,82.274140625,71.168359375,68.9434375,54.793046874999995,70.148671875,90.34453125,89.96359375,74.76335937500001,72.089453125
0.18328995843838156,94.415390625,77.495625,77.495625,65.47960937500001,62.22531250000001,49.230234375,64.220625,87.371171875,87.135859375,69.95218750000001,67.976796875
0.20464270210586474,91.968046875,73.11390625,73.11390625,59.96789062500001,56.482265625000004,44.949375,59.26625000000001,84.510859375,84.45867187500001,65.75656249999999,64.37335937499999
0.22599544577334793,89.56921875,69.09609375,69.09609375,54.91734375,51.50109375,41.41796875,55.11000000000001,81.699453125,81.958671875,62.146796875,61.2653125
0.24734818944083112,87.25632812500001,65.309765625,65.309765625,50.660625,47.341171875,38.41609375,51.48015625,79.022578125,79.643828125,58.964296875,58.64859375
0.26870093310831433,85.09765625,61.71546875,61.71546875,47.104140625,43.857265625,35.72328125000001,48.415546875000004,76.53640625,77.6109375,56.1159375,56.351796875000005
0.2900536767757975,83.095546875,58.38023437499999,58.38023437499999,43.99625,40.777578125000005,33.307500000000005,45.80609375,74.193671875,75.75164062500001,53.68390625,54.3159375
0.3114064204432807,81.228203125,55.300390625000006,55.300390625000006,41.35984375,38.035859375,31.227656250000003,43.499296875000006,71.977109375,74.06539062499999,51.55499999999999,52.420390625
0.3327591641107639,79.45750000000001,52.46171875000001,52.46171875000001,39.22109375,35.521953125,29.384296875000004,41.41890625,69.870234375,72.551484375,49.688437500000006,50.638281250000006
0.3541119077782471,77.779375,49.87343750000001,49.87343750000001,37.36375000000001,33.207109375,27.75265625000001,39.516328125,67.919453125,71.1821875,47.978125000000006,48.94304687500001
0.37546465144573027,76.196796875,47.514453125,47.514453125,35.746796875,31.029140625000007,26.316796875000005,37.769062500000004,66.0828125,69.89742187499999,46.4134375,47.334921875
0.39681739511321346,74.6528125,45.42078125,45.42078125,34.26609375,28.94796875000001,25.029140625,36.13984375,64.357109375,68.68,45.00015625,45.785078125
0.41817013878069664,73.15812500000001,43.5303125,43.5303125,32.90593750000001,27.003828125000005,23.886718750000004,34.651875,62.71117187499999,67.558359375,43.751328125,44.361640625
