Patient,Session,File,Motion Mean,Motion Std,Motion Max,Motion Min,Motion P10,Motion P50,Motion P90,Jacobian Mean,Jacobian Std,Jacobian Min,Jacobian % Negative,Harmonic Energy,QA_JAC0,QA_JAC2,QA_HE,QA_Passed
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F100_M101.nii,1.9234373215725409,4.575358780762737,85.45793730814438,0.0008599471713403349,0.13456122348452662,0.6079637874830534,4.513761174881784,0.9930077185768102,5.270342166912184,-889.6424693067465,0.0588296875,2.2208251295160895,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F101_M102.nii,1.177361335120003,2.331509882591138,55.671002754594056,0.002070990095720069,0.11753586375295225,0.47630867662849186,2.510465068564594,0.9947346354662006,4.775309994213701,-868.6254086979744,0.0333203125,1.141550130171766,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F102_M103.nii,1.375212490945481,3.4265548354435387,39.474471661526955,0.0004406466066017434,0.09084265355325431,0.3884696857090757,2.6960775007370565,0.9751907319257119,3.1418153658985584,-554.181266253471,0.0372171875,1.297730502110741,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F103_M104.nii,1.0086660812688641,2.4204197424637455,84.41625858132761,0.0008826932172113583,0.10677708268193913,0.39027104385611777,1.9306131012966903,0.9786992827632283,3.2186245274941454,-766.9018426543466,0.02587421875,0.9386131638448733,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F104_M105.nii,1.660247493761709,3.9839623183161526,78.10161583119776,0.0007129899286952003,0.10844387809300256,0.44333229821304454,3.506209518066838,0.9527432206283127,8.464777681982525,-3716.2356269490197,0.04791015625,1.8517534006342586,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F105_M106.nii,1.0517585479886664,2.07076411220188,58.81573311809942,0.0016117870242639035,0.12736952680586097,0.48261791877634264,2.5382617791902446,0.9899504924943294,7.117414209537006,-1806.685759694128,0.0221546875,1.0653696026413833,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F106_M107.nii,1.1008444199812855,1.52798292506904,84.2875901539041,0.0022517694506768273,0.12194561908159585,0.5535709396219286,2.8177731324074657,0.9926243246181444,5.536247140354396,-1109.8252922119434,0.023175,0.8822053666869002,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F107_M108.nii,0.9769493044333656,1.3174932461566038,48.39456212675777,0.0019059610229840201,0.14921136358878961,0.5453768361718367,2.360623272434762,0.9940931246208372,4.69539751754415,-1186.3583349059186,0.020125,0.6887587786101415,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F108_M109.nii,0.8845992884906978,1.5374674826810764,49.64375815088714,0.0013189731394569293,0.10912870814554167,0.4381128329061079,1.9681912926783576,0.9908522536007996,4.0115513706528505,-1432.891870738038,0.0182671875,0.6030160517726825,False,True,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F109_M110.nii,1.7345740123782718,5.204499855458154,73.33135745305948,0.0017559705814682767,0.10734833004957516,0.41703961231144965,3.3074617570600497,0.9630753431312356,4.121139013019845,-646.4592619590018,0.04428671875,1.7228339431308952,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F10_M11.nii,1.091216490444546,1.8737967751545288,59.734428074764445,0.0009504376545301631,0.11713519767775987,0.4247207141191637,2.7148249554229777,0.9958009349857766,4.173759613610803,-1104.3281272187778,0.03188125,1.0104119408056813,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F110_M111.nii,1.242793293281142,3.22314656023017,49.16871443487244,0.0010541582172460659,0.09537559678339298,0.38156355777934525,2.5939790699430123,0.9705985333249632,3.584734908858936,-663.7824227363261,0.03413359375,1.1754510692980036,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F111_M112.nii,1.1346319270456138,2.297022725946382,48.13831474128913,0.0009613412783576531,0.10223371734125386,0.40545143492083213,2.647914597537511,0.9959193450663939,4.022543602525283,-847.9661674181436,0.0349546875,1.1414421800313248,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F112_M113.nii,1.368113500876198,2.8343263424755776,44.61361362968318,0.0021807300730195107,0.12327716875794008,0.45030118445231826,3.3258204167501746,0.9841756029493314,5.206547039993077,-1285.4595443495068,0.04702734375,1.4652672211130482,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F113_M114.nii,1.0530911537339367,1.8183088933382314,87.20125897581997,0.0006017166754652787,0.10844507416269862,0.3942686489713869,2.7777321091762426,0.9965475826747555,6.101294504684575,-1858.5402287089082,0.0328015625,1.017243958646994,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F114_M115.nii,1.2871094204606033,2.2427029350049916,45.38901552867818,0.001140368323064555,0.1121853996949922,0.4487808423984351,3.5248988781149015,0.9968143691038669,2.51254021407697,-642.4412989959986,0.03942734375,1.155190460639885,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F115_M116.nii,1.40062802310675,2.958592683627967,76.86638158012859,0.0006094398171805602,0.12366779760430512,0.48277325809128724,3.3718222879393704,0.9746655046843289,7.237290469120534,-1702.4001029453923,0.04405234375,1.643718430176377,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F116_M117.nii,1.5982667985004329,2.4227466387720704,69.32018893035367,0.0010244512767714916,0.13926908916999167,0.6153841190697502,4.559062631792129,0.9897349254845645,8.154693310824145,-1217.1672238111912,0.04308359375,1.350154238310176,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F117_M118.nii,2.0600827396797383,4.4862291752741665,78.71341059399317,0.0007646602728365197,0.1035075132441654,0.44872490680281607,5.707079335633751,0.9463337046753191,4.029615303490228,-722.9758168208756,0.06382265625,2.130897756982379,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F118_M119.nii,1.3305108779136892,2.9180242750095093,64.55375066434529,0.0019229542983641697,0.11724736880495809,0.4444078993634568,3.0347750606371275,1.0090217237993044,3.13356748743398,-711.2379531891979,0.03801171875,1.3740858730304824,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F119_M120.nii,1.3086789718892256,2.520462437951335,41.1155742635277,0.0014587833667723943,0.110827711505287,0.47298237535863497,3.377135542264728,0.9918384498577593,3.6574471164252906,-449.9281230765395,0.0375359375,1.1261951864778328,False,False,True,False
pt002,MR1,DVF_20190503_DBN__P02_MR1_MMT_25_2_S_F11_M12.nii,1.6412098287752153,2.335465987370789,80.08174510747813,0.0008892194536379073,0.12532146675215197,0.6854083482774069,4.497068179710819,1.0041906485504024,4.26434226782247,-1201.1634458464139,0.0455234375,1.3543209244627517,False,False,True,False
