0.000000000000000000e+00,1.000000000000000000e+02
4.231618073827345117e-02,1.000000000000000000e+02
8.463236147654690233e-02,1.000000000000000000e+02
1.269485422148203535e-01,1.000000000000000000e+02
1.692647229530938047e-01,1.000000000000000000e+02
2.115809036913672558e-01,1.000000000000000000e+02
2.538970844296407070e-01,1.000000000000000000e+02
2.962132651679141304e-01,1.000000000000000000e+02
3.385294459061876093e-01,1.000000000000000000e+02
3.808456266444610883e-01,9.999880193607131673e+01
4.231618073827345117e-01,9.997843484928355906e+01
4.654779881210079351e-01,9.993530454785067718e+01
5.077941688592814140e-01,9.986941103177265688e+01
5.501103495975548929e-01,9.979033881247903537e+01
5.924265303358282608e-01,9.968850337854028965e+01
6.347427110741017398e-01,9.959745051995973597e+01
6.770588918123752187e-01,9.953395313173911063e+01
7.193750725506486976e-01,9.948004025494799407e+01
7.616912532889221765e-01,9.943930608137250715e+01
8.040074340271955444e-01,9.939617577993962527e+01
8.463236147654690233e-01,9.935663967029280741e+01
8.886397955037425023e-01,9.932189581636076525e+01
9.309559762420158702e-01,9.928835002635740636e+01
9.732721569802893491e-01,9.925959649206880897e+01
1.015588337718562828e+00,9.922245651027938607e+01
1.057904518456836307e+00,9.917453395313174269e+01
1.100220699195109786e+00,9.912780945991278259e+01
1.142536879933383265e+00,9.906311400776345977e+01
1.184853060671656522e+00,9.897805146882637928e+01
1.227169241409930001e+00,9.890496956917621674e+01
1.269485422148203480e+00,9.880792639095221830e+01
1.311801602886476958e+00,9.873244836344467501e+01
1.354117783624750437e+00,9.864019744093545228e+01
1.396433964363023916e+00,9.856232328557051403e+01
1.438750145101297395e+00,9.847127042698998878e+01
1.481066325839570874e+00,9.839100014376766978e+01
1.523382506577844353e+00,9.829395696554368556e+01
1.565698687316117610e+00,9.818972540374754487e+01
1.608014868054391089e+00,9.808788996980878494e+01
1.650331048792664568e+00,9.796928164086835977e+01
1.692647229530938047e+00,9.784228686442708067e+01
1.734963410269211526e+00,9.771888627977189401e+01
1.777279591007485005e+00,9.755834571332727023e+01
1.819595771745758483e+00,9.740738965831216944e+01
1.861911952484031740e+00,9.725044328365362389e+01
1.904228133222305219e+00,9.706953563042124244e+01
1.946544313960578698e+00,9.690540087219054044e+01
1.988860494698852177e+00,9.665021325537929897e+01
2.031176675437125656e+00,9.644534432357309583e+01
2.073492856175398913e+00,9.620932572962092877e+01
2.115809036913672614e+00,9.598768390281306040e+01
2.158125217651945871e+00,9.568936598456893705e+01
2.200441398390219572e+00,9.538026549096659323e+01
2.242757579128492829e+00,9.502563856807398679e+01
2.285073759866766530e+00,9.473930128911678139e+01
2.327389940605039786e+00,9.436550534336511475e+01
2.369706121343313043e+00,9.399650165332822382e+01
2.412022302081586744e+00,9.358077347007235858e+01
2.454338482819860001e+00,9.314348013610006660e+01
2.496654663558133702e+00,9.266066037283749779e+01
2.538970844296406959e+00,9.225092250922509152e+01
2.581287025034680660e+00,9.179685628025112010e+01
2.623603205772953917e+00,9.125652944841137071e+01
2.665919386511227618e+00,9.070302391335602010e+01
2.708235567249500875e+00,9.011237839651123238e+01
2.750551747987774132e+00,8.958043801217232271e+01
2.792867928726047833e+00,8.896583121675372752e+01
2.835184109464321089e+00,8.837638376383763728e+01
2.877500290202594790e+00,8.773901375377390366e+01
2.919816470940868047e+00,8.707408827335027013e+01
2.962132651679141748e+00,8.641515311257008136e+01
3.004448832417415005e+00,8.565438251785116108e+01
3.046765013155688706e+00,8.485647194134278948e+01
3.089081193893961963e+00,8.410888004983945621e+01
3.131397374632235220e+00,8.328940432261465787e+01
3.173713555370508921e+00,8.242440216609958270e+01
3.216029736108782178e+00,8.154142905065414482e+01
3.258345916847055879e+00,8.067403076628168890e+01
3.300662097585329136e+00,7.972037187904345501e+01
3.342978278323602837e+00,7.881223942109551217e+01
3.385294459061876093e+00,7.791129534671969736e+01
3.427610639800149350e+00,7.701274740020127751e+01
3.469926820538423051e+00,7.602194853117362072e+01
3.512243001276696308e+00,7.501677289500167944e+01
3.554559182014970009e+00,7.399482436382804451e+01
3.596875362753243266e+00,7.297647002444051623e+01
3.639191543491516967e+00,7.197608664398332223e+01
3.681507724229790224e+00,7.091699813102026440e+01
3.723823904968063481e+00,6.992500119806392433e+01
3.766140085706337182e+00,6.887190300474432547e+01
3.808456266444610439e+00,6.773853452820242182e+01
3.850772447182884139e+00,6.662313701059088089e+01
3.893088627921157396e+00,6.550534336512195921e+01
3.935404808659431097e+00,6.443068002108593362e+01
3.977720989397704354e+00,6.326496381846935435e+01
4.020037170135977611e+00,6.212680308621267500e+01
4.062353350874251312e+00,6.090957013466238124e+01
4.104669531612525013e+00,5.961446302774715633e+01
4.146985712350797826e+00,5.833732687976230835e+01
4.189301893089071527e+00,5.708295394642257747e+01
4.231618073827345228e+00,5.579503522307950192e+01
