threshold,pt001_MR1,pt001_MR2,pt001_MR3,pt002_MR1,pt002_MR2,pt002_MR3,pt011_MR1,pt011_MR2,pt022_MR1,pt022_MR2,pt022_MR3
0.049901941191538894,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875,99.999921875
0.06580577270639364,99.994921875,99.999375,99.999921875,99.997890625,99.998359375,99.99843750000001,99.99968750000001,99.99781250000001,99.998984375,99.99703125,99.99820312499999
0.08170960422124839,99.963515625,99.992890625,99.99960937499999,99.99054687499999,99.99296875,99.994765625,99.9971875,99.98328125,99.994375,99.97679687499999,99.9940625
0.09761343573610312,99.835390625,99.96515624999999,99.998125,99.97421875,99.97453125,99.98390625,99.98984374999999,99.92867187499999,99.98046875,99.894921875,99.9796875
0.11351726725095787,99.501015625,99.88773437500001,99.993828125,99.94375,99.932890625,99.955078125,99.967578125,99.78078124999999,99.950625,99.6903125,99.9553125
0.12942109876581262,98.840546875,99.6984375,99.9825,99.89234375,99.855390625,99.903515625,99.91492187499999,99.470703125,99.89015624999999,99.286953125,99.91695312499999
0.14532493028066737,97.79062499999999,99.344296875,99.95406249999999,99.81882812500001,99.72164062499999,99.808671875,99.81609375000001,98.944609375,99.7834375,98.617734375,99.848828125
0.16122876179552212,96.334296875,98.779453125,99.903671875,99.713125,99.52320312500001,99.65140625,99.639375,98.189921875,99.62460937499999,97.653125,99.74484375
0.17713259331037687,94.5275,97.977265625,99.81140625,99.56804687500001,99.253828125,99.42820312500001,99.38453125,97.20218750000001,99.39218749999999,96.392265625,99.59382812499999
0.19303642482523162,92.503125,96.94125,99.667265625,99.37265625,98.8934375,99.116328125,99.0403125,95.991171875,99.075,94.8159375,99.385546875
0.20894025634008637,90.328125,95.6728125,99.45140624999999,99.1228125,98.429921875,98.69328125,98.5903125,94.61734375,98.677265625,93.01203125,99.114921875
0.22484408785494112,88.0646875,94.235234375,99.160546875,98.81234375,97.856171875,98.17984374999999,98.04718749999999,93.152734375,98.20484375000001,91.039609375,98.780546875
0.24074791936979584,85.8275,92.61953125,98.78046875,98.444609375,97.188046875,97.530625,97.41109375,91.60765625,97.63859375,88.93023437500001,98.370859375
0.2566517508846506,83.641875,90.896953125,98.293828125,98.001953125,96.427734375,96.775625,96.665625,90.02890624999999,97.00703125,86.745078125,97.893671875
0.27255558239950534,81.5003125,89.0896875,97.70015625,97.49171875,95.575625,95.91296875,95.851796875,88.460859375,96.294140625,84.535546875,97.34109375
0.2884594139143601,79.47921875,87.214765625,97.007890625,96.93609375,94.640703125,94.936796875,94.951796875,86.89296875,95.501171875,82.35703125,96.71710937499999
0.30436324542921483,77.491484375,85.34484375,96.21656250000001,96.325625,93.635078125,93.84812500000001,93.961796875,85.376953125,94.6703125,80.208203125,96.02546875
0.3202670769440696,75.64234375000001,83.46976562500001,95.333515625,95.6353125,92.552578125,92.665859375,92.9146875,83.903203125,93.78937499999999,78.09937500000001,95.27507812500001
0.33617090845892433,73.862578125,81.62484375,94.37828125,94.88445312500001,91.403203125,91.39874999999999,91.803515625,82.46359375,92.88187500000001,76.0384375,94.46078125
