Patient,Session,File,Motion Mean,Motion Std,Motion Max,Motion Min,Motion P10,Motion P50,Motion P90,Jacobian Mean,Jacobian Std,Jacobian Min,Jacobian % Negative,Harmonic Energy,QA_JAC0,QA_JAC2,QA_HE,QA_Passed
pt002,MR1,002_to_001_warp.nii.gz,0.9171458423572402,1.1474213136729274,6.249076297452246,0.0016652474893608634,0.11755285942501513,0.38419643318337177,2.8309915761359976,1.041452955025194,0.5474089974914579,-0.39407062431054213,6.7138671875e-06,0.384268902936215,False,True,True,False
pt002,MR1,003_to_002_warp.nii.gz,0.8613917812966251,1.1511583028713028,8.511154590891303,0.0011849771580982947,0.09997304557525435,0.31177713999716195,2.8051290940862637,1.0411617841041347,0.5298581971001104,-0.622777353065765,1.708984375e-05,0.3540707598011522,False,True,True,False
pt002,MR1,004_to_003_warp.nii.gz,1.0016396641921352,1.1692871277240087,7.1249904807363516,0.0021911371369856157,0.11731379463540557,0.4394674412942971,2.8645651116082775,1.0414257440321586,0.5698096096590258,-0.35561081663289107,2.3193359375e-05,0.4112241490611284,False,True,True,False
pt002,MR1,005_to_004_warp.nii.gz,0.9018039810096614,1.1611243204571473,9.871980992643978,0.002294376988267495,0.1061256814207057,0.34382139119015687,2.841322818418009,1.041360142960424,0.5411121028316473,-1.0498638195688257,4.33349609375e-05,0.384033220454913,False,True,True,False
pt002,MR1,006_to_005_warp.nii.gz,0.9544721816356688,1.1645206470438347,7.505354803750317,0.0019278854087706769,0.10976803457842943,0.3889904909394159,2.857260211559737,1.0414201480528031,0.5507491457961592,-2.842891067903322,4.39453125e-05,0.39825115196791544,False,True,True,False
pt002,MR1,007_to_006_warp.nii.gz,0.8623449581127623,1.155734658694927,8.761749415000534,0.0008373946728674537,0.1006798226043191,0.3037144821076945,2.8111835718403446,1.0412917558255008,0.534372326812538,-0.8205918409292983,3.11279296875e-05,0.3618681293427081,False,True,True,False
pt002,MR1,008_to_007_warp.nii.gz,0.9057535160372591,1.144663759925254,9.315652129813136,0.0015559156564458002,0.1058020235404454,0.3560423201884941,2.810018425688966,1.0411638183164778,0.5284095236784414,-1.2220575036172159,4.2724609375e-05,0.3636540439959286,False,True,True,False
pt002,MR1,009_to_008_warp.nii.gz,0.8725917329446414,1.1449541419364484,9.683769558668967,0.0011769819624667791,0.10700880396219646,0.32850330197037314,2.798570810326192,1.0414487374310533,0.5219383719675857,-0.5233410393537126,5.7373046875e-05,0.35927578559787493,False,True,True,False
pt002,MR1,010_to_009_warp.nii.gz,0.8506335883643823,1.1457000964586554,7.712223613923047,0.00172033174250478,0.10022497593760336,0.2973335301311619,2.798311179634577,1.0413515809293972,0.5210085046631057,-0.3575117539480027,3.11279296875e-05,0.34470691771756706,False,True,True,False
pt002,MR1,011_to_010_warp.nii.gz,0.8508927289668687,1.1369437741297066,6.988110420802939,0.0015115570634394793,0.10135113208606342,0.31292430262380344,2.7843926580056633,1.0415078448266946,0.5117840037921365,-0.2184143410884085,1.0986328125e-05,0.33386769946105616,False,True,True,False
pt002,MR1,012_to_011_warp.nii.gz,1.0142347147970714,1.177932885133802,7.063286226750488,0.0020673565463144123,0.11618458034604412,0.447096449281023,2.874004823733157,1.0409965857521646,0.5758215346316506,-0.08821287826440759,8.544921875e-06,0.41953685365017784,False,True,True,False
