Patient,Session,File,Motion Mean,Motion Std,Motion Max,Motion Min,Motion P10,Motion P50,Motion P90,Jacobian Mean,Jacobian Std,Jacobian Min,Jacobian % Negative,Harmonic Energy,QA_JAC0,QA_JAC2,QA_HE,QA_Passed
pt002,MR1,002_to_001_warp.nii.gz,1.0905654465089105,1.5117045758032361,6.638794091932902,0.0007750796330236594,0.10415443838219775,0.37854021788376774,3.4437542628180573,1.0406218977813224,0.6998400574215337,-0.25464687762164684,1.8310546875e-05,0.6281303594137206,False,True,True,False
pt002,MR1,003_to_002_warp.nii.gz,1.0339355275347042,1.5325815692704052,7.456789077991957,0.0008095052141968101,0.08708103597906693,0.2970425749668326,3.434841229561575,1.0408121904786058,0.6923766369484217,-0.22282115991122617,1.5869140625e-05,0.6056438467129925,False,True,True,False
pt002,MR1,004_to_003_warp.nii.gz,1.1942810607423369,1.5220522012380426,7.681361195580895,0.001609013195193345,0.10227121237750011,0.4378867139598657,3.494899720807532,1.0404335808728489,0.7114897195488615,-0.7058033401974132,2.62451171875e-05,0.6436149427926039,False,True,True,False
pt002,MR1,005_to_004_warp.nii.gz,1.0734896720545841,1.5292250231155757,8.615908402495025,0.0015944253562358035,0.09369796745787216,0.3371813986204414,3.4641953432673773,1.040327369000759,0.7006660120083863,-0.9424188718556921,7.32421875e-05,0.6379041284439135,False,True,True,False
pt002,MR1,006_to_005_warp.nii.gz,1.1231350743156219,1.5198814911560625,7.773886881499856,0.001499278824677615,0.09836532684368016,0.38957148878581754,3.4679193934237538,1.039739089657767,0.7069769513751996,-1.720190476966457,7.87353515625e-05,0.6509415184859432,False,True,True,False
pt002,MR1,007_to_006_warp.nii.gz,1.0416121887857595,1.5439596477263298,8.226597087358385,0.001576802652014872,0.08705205269499001,0.29200413693696603,3.463707046435171,1.040969573965352,0.6964179973567418,-0.37747039841281554,3.11279296875e-05,0.6153827812397215,False,True,True,False
pt002,MR1,008_to_007_warp.nii.gz,1.0798747319785482,1.5210694125448863,8.077093785664465,0.0015396570113989565,0.09282684940691129,0.3515943786364719,3.440058958301906,1.0398559492587596,0.6940969812416939,-0.37077410444764186,4.33349609375e-05,0.6205239284352438,False,True,True,False
pt002,MR1,009_to_008_warp.nii.gz,1.0474952261389492,1.5328120676853925,10.364298097206593,0.0018495839333025868,0.09437118032846127,0.3160227673198341,3.4455897332594,1.0409384140270592,0.6929031730212662,-0.9301307453842399,2.44140625e-05,0.6139703383528451,False,True,True,False
pt002,MR1,010_to_009_warp.nii.gz,1.0292939111585928,1.5386429981487841,8.51470243377915,0.0015833032748707834,0.08754199788249954,0.28489144583805615,3.4418274312864447,1.0409727897825958,0.690818723821004,-0.31282728978422336,3.41796875e-05,0.6004580724445802,False,True,True,False
pt002,MR1,011_to_010_warp.nii.gz,1.0361036629568852,1.53009180938704,7.2028615939494225,0.0006941265405454249,0.08867838268169644,0.30547586708981034,3.4399174012862197,1.0408006753600396,0.6853823518075813,-0.23682231650051105,2.0751953125e-05,0.5925281351400516,False,True,True,False
pt002,MR1,012_to_011_warp.nii.gz,1.2050664534466577,1.5284908564039594,6.860836671311649,0.0011843015214338688,0.10036897668964156,0.4423815977285569,3.5026929229363626,1.0402720489837403,0.7152509944490323,-0.41952535722283224,1.46484375e-05,0.648887373693896,False,True,True,False
pt002,MR1,013_to_012_warp.nii.gz,1.0402590993862908,1.5145168067165078,7.426169553690488,0.0010442163446665448,0.09695648453541279,0.3374609496700446,3.419275300754532,1.0403516634376322,0.6811945367672775,-0.556418015171187,3.7841796875e-05,0.592671032755089,False,True,True,False
pt002,MR1,014_to_013_warp.nii.gz,1.117253689749193,1.5025968771218416,7.32342088541611,0.0004781337854035087,0.09946768117563053,0.3987131171969276,3.4019162415505804,1.0381530491854098,0.69367703832833,-0.8347215093090715,2.13623046875e-05,0.6102368144524258,False,True,True,False
pt002,MR1,015_to_014_warp.nii.gz,1.059143355683889,1.5189987789798793,7.36743040639922,0.0008053855337810394,0.09102596617793622,0.3378979166816245,3.444135715583632,1.0407261454385526,0.6809053858868929,-0.07117334487228161,1.0986328125e-05,0.5787796279187497,False,True,True,False
pt002,MR1,016_to_015_warp.nii.gz,1.0977836010596784,1.5040259625752113,7.360276360629789,0.001562735580313347,0.10080563541880232,0.3976699442001156,3.4174586211761575,1.0393586708648563,0.691361188089271,-0.5181607859204128,2.5634765625e-05,0.6088514861062762,False,True,True,False
pt002,MR1,017_to_016_warp.nii.gz,1.0326755921723245,1.524130535930994,7.720957154594069,0.0023883067630012834,0.09385167766662175,0.3122603602180742,3.4324929573702545,1.0409495223100254,0.6827252302522989,-0.3922089667028058,2.44140625e-05,0.5869660127414096,False,True,True,False
pt002,MR1,018_to_017_warp.nii.gz,1.0339802069491144,1.5208300414614278,8.235033043315092,0.0012910920928822353,0.09395571218671513,0.3122628518424029,3.4152318134907933,1.0408932906893966,0.6830480511742217,-0.5770484684766691,1.52587890625e-05,0.5930030139787966,False,True,True,False
pt002,MR1,019_to_018_warp.nii.gz,1.0277945191889182,1.5230174995024646,7.460062400456721,0.0011716690320247535,0.09145827381321973,0.3098911423227001,3.4154069906055065,1.0408900166662545,0.6811911329665488,-0.727861767000085,4.08935546875e-05,0.5823987142501419,False,True,True,False
pt002,MR1,020_to_019_warp.nii.gz,1.0067388109622712,1.5263217056018608,7.343788293073767,0.0016508221463828526,0.08659268243686977,0.27746766982912663,3.403254237696327,1.0409456639639825,0.6798863277096928,-0.10198520946469898,1.3427734375e-05,0.5751281603057723,False,True,True,False
pt002,MR1,021_to_020_warp.nii.gz,1.0748684975352665,1.5210383465618,8.248390261254828,0.00192173075594674,0.09409220488170078,0.3525363362121384,3.4495150530999728,1.0407403413311367,0.6866319351362373,-0.6121645507070701,2.86865234375e-05,0.6010032507436792,False,True,True,False
pt002,MR1,022_to_021_warp.nii.gz,1.0770261074779521,1.5176394587013402,8.281225775912239,0.0016524311927400726,0.09578219283721631,0.36263084211978197,3.442407940011209,1.0408496655231436,0.69177413338061,-0.14555382805009323,1.3427734375e-05,0.6083704896062446,False,True,True,False
pt002,MR1,023_to_022_warp.nii.gz,1.073134384545859,1.5107026987492915,7.289897004088639,0.0011794534079034458,0.09839454763482151,0.36377328706537626,3.420874035347557,1.0398591967911146,0.690476745745464,-1.874333039215146,3.2958984375e-05,0.613752175980332,False,True,True,False
pt002,MR1,024_to_023_warp.nii.gz,1.0484436601960256,1.509463595494318,7.222796032550646,0.0020113774792032816,0.09502534522502458,0.3498254761688944,3.403363367092236,1.0400954151934187,0.6843202778867185,-0.19809497176647928,7.9345703125e-06,0.5887317119280637,False,True,True,False
pt002,MR1,025_to_024_warp.nii.gz,1.00157455653292,1.5316066058611526,8.77155732488881,0.0005019065734059728,0.08696574182757709,0.28447914467150515,3.4281324253232763,1.0409946216459878,0.6799274409137254,-0.1888713507727072,1.03759765625e-05,0.5781030014182668,False,True,True,False
pt002,MR1,026_to_025_warp.nii.gz,1.052065565056688,1.5252496997835032,8.307766049170402,0.0018217321403563732,0.09063484408877157,0.32518106333297414,3.438075264260335,1.0407089116812256,0.688628815477633,-0.5241853749247616,2.9296875e-05,0.6033392795372344,False,True,True,False
pt002,MR1,027_to_026_warp.nii.gz,1.0669802025926152,1.5249791822649224,8.67904494109472,0.001350293908072448,0.09124707498688944,0.33771474681012714,3.450031153425003,1.0409172927066295,0.6941981202954418,-1.0785315421616275,5.55419921875e-05,0.6087251185396195,False,True,True,False
pt002,MR1,028_to_027_warp.nii.gz,1.0667743632909852,1.5176027393847256,8.390768131681764,0.0002821795147857491,0.0984283241670393,0.3536501315554338,3.4385558996903307,1.0401104674948902,0.6927549679288025,-0.45574680243010696,2.38037109375e-05,0.6235970839828489,False,True,True,False
pt002,MR1,029_to_028_warp.nii.gz,1.09701386986701,1.5185923764204914,9.625389319426269,0.001115106035744109,0.09906922024278429,0.37419329009030067,3.450866016185491,1.0395002033509595,0.701610129652774,-0.4138324838521383,5.0048828125e-05,0.629801254919108,False,True,True,False
pt002,MR1,030_to_029_warp.nii.gz,1.0544481056158048,1.535006504347462,8.927007014464078,0.0007749104633232845,0.09130017356403033,0.3178430339676534,3.466660311567933,1.0409418723446273,0.6972369888581035,-0.34784544919575244,3.173828125e-05,0.6209575527461009,False,True,True,False
pt002,MR1,031_to_030_warp.nii.gz,1.1151415057587029,1.5316764476744118,9.693066981880525,0.0012304062346011671,0.09635670655238995,0.371788350326064,3.4991093826670654,1.0407120800141654,0.7118793611270584,-0.6951708742005795,7.38525390625e-05,0.6525386408534755,False,True,True,False
pt002,MR1,032_to_031_warp.nii.gz,1.1325236840933302,1.5244276815687319,8.947496105962149,0.0016559761844995935,0.10297636110602731,0.3988224061819666,3.506270679388329,1.0403331661850388,0.7102198099263596,-0.5545340078904953,4.21142578125e-05,0.6500270315631228,False,True,True,False
pt002,MR1,033_to_032_warp.nii.gz,1.1036843126322209,1.526867591237429,7.826467653621007,0.0013171700105672562,0.0986939304414602,0.3716844247661584,3.484212970902703,1.0400951358071469,0.7100902764178906,-1.0741251624621224,8.97216796875e-05,0.6539403315424838,False,True,True,False
pt002,MR1,034_to_033_warp.nii.gz,1.0904211067627607,1.5211391491420507,7.315542710540789,0.0011306113074840524,0.09804098826164656,0.36888383275146475,3.4532761884618357,1.0402183705223496,0.7097140822979969,-0.42208960053789824,3.47900390625e-05,0.640815699135377,False,True,True,False
