threshold,pt002_MR1,pt002_MR2,pt002_MR3,pt022_MR1,pt022_MR2,pt022_MR3
0.018175761037831965,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375
0.02993094341770071,99.9937744140625,99.979736328125,99.98046875,99.9771728515625,99.9766845703125,99.990966796875
0.04168612579756946,99.897216796875,99.7486572265625,99.7318115234375,99.752197265625,99.6275634765625,99.82171630859375
0.0534413081774382,99.53509521484375,98.91082763671875,98.8699951171875,99.03094482421875,98.45458984375,99.08172607421875
0.06519649055730695,98.77325439453125,97.17724609375,97.2064208984375,97.62213134765625,96.346923828125,97.50537109375
0.0769516729371757,97.54736328125,94.53778076171875,94.72119140625,95.6339111328125,93.4188232421875,95.1431884765625
0.08870685531704445,95.86859130859375,91.2559814453125,91.473388671875,93.31829833984375,90.034912109375,92.2474365234375
0.10046203769691317,93.84686279296875,87.62554931640625,87.66876220703125,90.8782958984375,86.52105712890625,89.1175537109375
0.11221722007678192,91.5439453125,83.8504638671875,83.51947021484375,88.4761962890625,83.19573974609375,85.97833251953125
0.12397240245665067,89.1005859375,80.1131591796875,79.2158203125,86.20867919921875,80.1405029296875,82.94598388671875
0.13572758483651942,86.6380615234375,76.50494384765625,74.9278564453125,84.15234375,77.3790283203125,80.1153564453125
0.14748276721638817,84.1700439453125,72.99298095703125,70.69586181640625,82.28289794921875,74.9388427734375,77.5146484375
0.15923794959625692,81.78057861328125,69.67779541015625,66.66583251953125,80.58343505859375,72.74920654296875,75.14208984375
0.17099313197612567,79.4273681640625,66.5440673828125,62.84722900390625,79.0758056640625,70.739501953125,72.95819091796875
0.1827483143559944,77.1900634765625,63.5919189453125,59.232666015625,77.68896484375,68.896484375,70.92218017578125
0.19450349673586315,75.0069580078125,60.81878662109374,55.82159423828125,76.43603515625,67.188232421875,69.013427734375
0.2062586791157319,72.9195556640625,58.19976806640626,52.6153564453125,75.301513671875,65.63427734375,67.205810546875
0.21801386149560065,70.898681640625,55.77130126953125,49.66021728515625,74.23370361328125,64.15380859375,65.470947265625
