threshold,volume_percent
0.03947182705283505,99.999921875
0.09608384267737916,98.08242187500001
0.15269585830192325,90.159296875
0.20930787392646735,83.2696875
0.2659198895510114,76.7546875
0.3225319051755555,70.148671875
0.3791439208000996,64.220625
0.4357559364246437,59.26625
0.4923679520491878,55.11000000000001
0.5489799676737319,51.48015625
0.605591983298276,48.415546875
0.6622039989228201,45.80609375
0.7188160145473642,43.499296875
0.7754280301719083,41.41890625
0.8320400457964524,39.516328125
0.8886520614209965,37.7690625
0.9452640770455406,36.13984375
1.0018760926700847,34.651875
1.058488108294629,33.326796875
1.115100123919173,32.172968749999995
1.1717121395437171,31.13296875
1.2283241551682613,30.204296874999997
1.2849361707928053,29.355390625
1.3415481864173493,28.536718750000002
1.3981602020418935,27.767578124999996
1.4547722176664377,27.00578125
1.5113842332909817,26.26875
1.5679962489155257,25.559609374999997
1.62460826454007,24.858515625
1.6812202801646141,24.167421875
1.737832295789158,23.497578125
1.794444311413702,22.850703125
1.8510563270382463,22.231953125
1.9076683426627905,21.6371875
1.9642803582873345,21.049453125
2.0208923739118783,20.502265625
2.0775043895364225,19.952265625000003
2.1341164051609667,19.419609375
2.1907284207855104,18.878828125
2.2473404364100547,18.31515625
2.303952452034599,17.761640625
2.360564467659143,17.23265625
2.4171764832836873,16.724687499999998
2.473788498908231,16.2409375
2.5304005145327753,15.774375
2.5870125301573195,15.31953125
2.6436245457818632,14.87953125
2.7002365614064074,14.444453125
2.7568485770309517,14.0253125
2.813460592655496,13.601484375
2.87007260828004,13.186640625
2.926684623904584,12.78578125
2.983296639529128,12.403515625
3.0399086551536723,12.0271875
3.096520670778216,11.645312500000001
3.1531326864027602,11.265859375
3.2097447020273044,10.903828124999999
3.2663567176518487,10.552578125
3.322968733276393,10.20515625
3.3795807489009366,9.854765625
3.436192764525481,9.51671875
3.492804780150025,9.187578125
3.549416795774569,8.863828125000001
3.606028811399113,8.559296875
3.6626408270236572,8.26078125
3.7192528426482014,7.97453125
3.7758648582727456,7.7025
3.8324768738972894,7.438984375
3.8890888895218336,7.1928906249999995
3.945700905146378,6.943984374999999
4.002312920770922,6.706328125
4.058924936395466,6.473828125
4.11553695202001,6.24265625
4.172148967644554,6.015078125
4.228760983269098,5.803125
4.285372998893642,5.590546875
4.341985014518186,5.3900781250000005
4.398597030142731,5.20359375
4.455209045767274,5.0142187499999995
4.511821061391819,4.828749999999999
4.568433077016363,4.652109375
4.625045092640907,4.482265625
4.681657108265451,4.31078125
4.738269123889995,4.147578125
4.79488113951454,3.984765625
4.851493155139083,3.837421875
4.908105170763627,3.686796875
4.964717186388172,3.5496093749999997
5.021329202012716,3.428671875
5.077941217637259,3.306015625
5.134553233261804,3.193515625
5.191165248886348,3.08703125
5.2477772645108915,2.988984375
5.304389280135436,2.8976562500000003
5.36100129575998,2.810390625
5.417613311384525,2.723046875
5.474225327009068,2.6432031250000003
5.530837342633612,2.5687499999999996
5.587449358258157,2.4946875
5.644061373882701,2.422421875
5.700673389507245,2.355859375
5.757285405131789,2.2925
5.813897420756333,2.2318749999999996
5.870509436380877,2.17203125
5.927121452005421,2.118515625
5.983733467629965,2.068125
6.04034548325451,2.020546875
6.096957498879053,1.9758593750000002
6.153569514503597,1.937109375
6.210181530128142,1.8961718749999998
6.2667935457526855,1.856171875
6.32340556137723,1.82109375
6.380017577001774,1.7860156249999999
6.436629592626318,1.753359375
6.493241608250862,1.724609375
6.549853623875406,1.6931249999999998
6.606465639499951,1.663125
6.663077655124495,1.6352343750000002
6.719689670749038,1.6087500000000001
6.776301686373583,1.583046875
6.832913701998127,1.560234375
6.8895257176226705,1.536171875
6.946137733247215,1.509765625
7.002749748871759,1.486328125
7.059361764496303,1.463046875
7.115973780120847,1.4403124999999999
7.172585795745391,1.41703125
7.229197811369936,1.3965625000000002
7.2858098269944795,1.375859375
