threshold,pt002_MR1,pt002_MR2,pt002_MR3,pt022_MR1,pt022_MR2,pt022_MR3
0.02601707297043791,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375,99.99993896484375
0.03692392244664419,99.9910888671875,99.99310302734375,99.99530029296875,99.998046875,99.9976806640625,99.9901123046875
0.04783077192285047,99.94879150390625,99.92974853515625,99.9556884765625,99.9844970703125,99.98175048828125,99.92816162109375
0.058737621399056764,99.8326416015625,99.7049560546875,99.8052978515625,99.94183349609375,99.91754150390625,99.71856689453125
0.06964447087526304,99.59405517578125,99.2186279296875,99.42767333984375,99.83038330078125,99.7568359375,99.2315673828125
0.08055132035146932,99.17828369140625,98.36749267578125,98.71435546875,99.625244140625,99.44000244140625,98.39349365234375
0.09145816982767561,98.54248046875,97.15032958984375,97.59442138671875,99.27935791015625,98.9127197265625,97.186279296875
0.1023650193038819,97.6839599609375,95.60113525390625,96.08367919921875,98.7901611328125,98.15301513671875,95.634521484375
0.11327186878008817,96.62188720703125,93.77044677734375,94.1817626953125,98.15521240234375,97.1593017578125,93.82989501953125
0.12417871825629445,95.33404541015625,91.71649169921875,91.97442626953125,97.3865966796875,95.919189453125,91.8861083984375
0.13508556773250072,93.87725830078125,89.51983642578125,89.55810546875,96.47747802734375,94.498779296875,89.81817626953125
0.145992417208707,92.25616455078125,87.172607421875,87.01898193359375,95.48736572265625,92.94305419921875,87.7279052734375
0.1568992666849133,90.49932861328125,84.7874755859375,84.38720703125,94.42291259765625,91.2747802734375,85.6246337890625
0.16780611616111957,88.63775634765625,82.36822509765625,81.75128173828125,93.30145263671875,89.53955078125,83.57183837890625
0.17871296563732586,86.68798828125,79.94110107421875,79.10968017578125,92.14874267578125,87.77679443359375,81.54888916015625
0.18961981511353213,84.65777587890625,77.53118896484375,76.51470947265625,90.97161865234375,86.03045654296875,79.58203125
0.20052666458973842,82.555908203125,75.17999267578125,73.93011474609375,89.802490234375,84.303466796875,77.65850830078125
0.2114335140659447,80.39801025390625,72.86724853515625,71.3743896484375,88.63739013671875,82.59625244140625,75.76214599609375
0.22234036354215098,78.238037109375,70.61285400390625,68.9024658203125,87.48931884765625,80.92254638671875,73.933837890625
0.23324721301835727,76.0640869140625,68.4368896484375,66.47222900390625,86.37298583984375,79.30108642578125,72.11419677734375
0.24415406249456353,73.89849853515625,66.3443603515625,64.1492919921875,85.26513671875,77.72149658203125,70.34136962890625
0.25506091197076985,71.73602294921875,64.31640625,61.92181396484375,84.19244384765625,76.16937255859375,68.5958251953125
0.26596776144697615,69.6419677734375,62.3636474609375,59.784912109375,83.1519775390625,74.68988037109375,66.8939208984375
0.27687461092318244,67.57708740234375,60.4854736328125,57.78082275390625,82.13018798828125,73.23321533203125,65.26983642578125
0.28778146039938873,65.569091796875,58.67108154296875,55.89947509765625,81.1458740234375,71.81884765625,63.669189453125
0.29868830987559497,63.64318847656249,56.91644287109375,54.13043212890625,80.181640625,70.45867919921875,62.10968017578124
0.30959515935180126,61.80438232421876,55.242919921875,52.44885253906249,79.25537109375,69.13275146484375,60.572265625
0.32050200882800756,60.04296875,53.60174560546875,50.83966064453125,78.35736083984375,67.84075927734375,59.0755615234375
0.33140885830421385,58.35211181640625,51.99554443359376,49.35028076171875,77.48345947265625,66.590087890625,57.64312744140625
