/home/rth/jgmandjes/.conda/envs/voxelmorph/lib/python3.10/site-packages/torch/functional.py:539: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:3637.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 58/1500 - 0.3196 sec/step - loss: 1.1613e-02  (9.9485e-03, 1.6649e-03)
Epoch 59/1500 - 0.3181 sec/step - loss: 1.2282e-02  (1.0497e-02, 1.7857e-03)
Epoch 60/1500 - 0.3190 sec/step - loss: 1.2024e-02  (1.0410e-02, 1.6140e-03)
Epoch 61/1500 - 0.3178 sec/step - loss: 1.1401e-02  (9.7110e-03, 1.6896e-03)
Epoch 62/1500 - 0.3183 sec/step - loss: 1.1299e-02  (9.6250e-03, 1.6738e-03)
Epoch 63/1500 - 0.3200 sec/step - loss: 1.1079e-02  (9.4568e-03, 1.6219e-03)
Epoch 64/1500 - 0.3191 sec/step - loss: 1.1999e-02  (1.0374e-02, 1.6252e-03)
Epoch 65/1500 - 0.3182 sec/step - loss: 1.2200e-02  (1.0523e-02, 1.6777e-03)
Epoch 66/1500 - 0.3198 sec/step - loss: 1.1432e-02  (9.7864e-03, 1.6460e-03)
Epoch 67/1500 - 0.3193 sec/step - loss: 1.2472e-02  (1.0729e-02, 1.7424e-03)
Epoch 68/1500 - 0.3193 sec/step - loss: 1.1475e-02  (9.8101e-03, 1.6652e-03)
Epoch 69/1500 - 0.3194 sec/step - loss: 1.1552e-02  (9.9119e-03, 1.6396e-03)
Epoch 70/1500 - 0.3215 sec/step - loss: 1.1516e-02  (9.7999e-03, 1.7162e-03)
Epoch 71/1500 - 0.3241 sec/step - loss: 1.1277e-02  (9.6334e-03, 1.6441e-03)
Epoch 72/1500 - 0.3229 sec/step - loss: 1.1313e-02  (9.6078e-03, 1.7052e-03)
Epoch 73/1500 - 0.3242 sec/step - loss: 1.1156e-02  (9.5820e-03, 1.5743e-03)
Epoch 74/1500 - 0.3245 sec/step - loss: 1.1413e-02  (9.7155e-03, 1.6978e-03)
Epoch 75/1500 - 0.3227 sec/step - loss: 1.1298e-02  (9.6272e-03, 1.6711e-03)
Epoch 76/1500 - 0.3238 sec/step - loss: 1.1876e-02  (1.0179e-02, 1.6972e-03)
Epoch 77/1500 - 0.3211 sec/step - loss: 1.1367e-02  (9.6423e-03, 1.7246e-03)
Epoch 78/1500 - 0.3243 sec/step - loss: 1.0975e-02  (9.3522e-03, 1.6226e-03)
Epoch 79/1500 - 0.3213 sec/step - loss: 1.1639e-02  (9.8735e-03, 1.7652e-03)
Epoch 80/1500 - 0.3244 sec/step - loss: 1.0985e-02  (9.3202e-03, 1.6653e-03)
Epoch 81/1500 - 0.3212 sec/step - loss: 1.0792e-02  (9.0638e-03, 1.7279e-03)
Epoch 82/1500 - 0.3225 sec/step - loss: 1.1039e-02  (9.4161e-03, 1.6234e-03)
Epoch 83/1500 - 0.3206 sec/step - loss: 1.0985e-02  (9.2822e-03, 1.7029e-03)
Epoch 84/1500 - 0.3213 sec/step - loss: 1.1241e-02  (9.5636e-03, 1.6776e-03)
Epoch 85/1500 - 0.3219 sec/step - loss: 1.1279e-02  (9.6157e-03, 1.6632e-03)
Epoch 86/1500 - 0.3216 sec/step - loss: 1.0396e-02  (8.7145e-03, 1.6814e-03)
Epoch 87/1500 - 0.3214 sec/step - loss: 1.1026e-02  (9.3344e-03, 1.6912e-03)
Epoch 88/1500 - 0.3200 sec/step - loss: 1.1245e-02  (9.5999e-03, 1.6450e-03)
Epoch 89/1500 - 0.3193 sec/step - loss: 1.1649e-02  (9.8587e-03, 1.7899e-03)
Epoch 90/1500 - 0.3180 sec/step - loss: 1.1551e-02  (9.7121e-03, 1.8385e-03)
Epoch 91/1500 - 0.3193 sec/step - loss: 1.0969e-02  (9.2624e-03, 1.7066e-03)
Epoch 92/1500 - 0.3188 sec/step - loss: 1.1026e-02  (9.2789e-03, 1.7476e-03)
Epoch 93/1500 - 0.3190 sec/step - loss: 1.1723e-02  (9.9810e-03, 1.7420e-03)
Epoch 94/1500 - 0.3195 sec/step - loss: 1.1725e-02  (9.9927e-03, 1.7326e-03)
Epoch 95/1500 - 0.3188 sec/step - loss: 1.1664e-02  (9.9195e-03, 1.7447e-03)
Epoch 96/1500 - 0.3197 sec/step - loss: 1.1456e-02  (9.6742e-03, 1.7817e-03)
Epoch 97/1500 - 0.3179 sec/step - loss: 1.1927e-02  (1.0083e-02, 1.8436e-03)
Epoch 98/1500 - 0.3184 sec/step - loss: 1.1572e-02  (9.9172e-03, 1.6545e-03)
Epoch 99/1500 - 0.3188 sec/step - loss: 1.1247e-02  (9.3740e-03, 1.8730e-03)
Epoch 100/1500 - 0.3190 sec/step - loss: 1.0742e-02  (9.0351e-03, 1.7070e-03)
Epoch 101/1500 - 0.3189 sec/step - loss: 1.1387e-02  (9.6957e-03, 1.6916e-03)
Epoch 102/1500 - 0.3195 sec/step - loss: 1.0732e-02  (9.0873e-03, 1.6447e-03)
Epoch 103/1500 - 0.3199 sec/step - loss: 1.1415e-02  (9.6865e-03, 1.7287e-03)
Epoch 104/1500 - 0.3190 sec/step - loss: 1.1626e-02  (9.7827e-03, 1.8430e-03)
Epoch 105/1500 - 0.3189 sec/step - loss: 1.1349e-02  (9.5917e-03, 1.7576e-03)
Epoch 106/1500 - 0.3206 sec/step - loss: 1.1628e-02  (9.7923e-03, 1.8356e-03)
Epoch 107/1500 - 0.3192 sec/step - loss: 1.0876e-02  (9.0793e-03, 1.7965e-03)
Epoch 108/1500 - 0.3221 sec/step - loss: 1.1175e-02  (9.4506e-03, 1.7240e-03)
Epoch 109/1500 - 0.3192 sec/step - loss: 1.0860e-02  (9.1447e-03, 1.7154e-03)
Epoch 110/1500 - 0.3203 sec/step - loss: 1.1175e-02  (9.4565e-03, 1.7189e-03)
Epoch 111/1500 - 0.3181 sec/step - loss: 1.1251e-02  (9.5322e-03, 1.7190e-03)
Epoch 112/1500 - 0.3196 sec/step - loss: 1.1498e-02  (9.7332e-03, 1.7644e-03)
Epoch 113/1500 - 0.3185 sec/step - loss: 1.0671e-02  (8.9521e-03, 1.7186e-03)
Epoch 114/1500 - 0.3184 sec/step - loss: 1.0798e-02  (9.0130e-03, 1.7846e-03)
Epoch 115/1500 - 0.3208 sec/step - loss: 1.1653e-02  (9.8262e-03, 1.8271e-03)
Epoch 116/1500 - 0.3186 sec/step - loss: 1.1083e-02  (9.3008e-03, 1.7820e-03)
Epoch 117/1500 - 0.3215 sec/step - loss: 1.1402e-02  (9.6039e-03, 1.7983e-03)
Epoch 118/1500 - 0.3186 sec/step - loss: 1.0911e-02  (9.1696e-03, 1.7415e-03)
Epoch 119/1500 - 0.3223 sec/step - loss: 1.0155e-02  (8.4868e-03, 1.6679e-03)
Epoch 120/1500 - 0.3199 sec/step - loss: 1.1400e-02  (9.6753e-03, 1.7246e-03)
Epoch 121/1500 - 0.3217 sec/step - loss: 1.0606e-02  (8.9369e-03, 1.6686e-03)
Epoch 122/1500 - 0.3192 sec/step - loss: 1.0780e-02  (9.0128e-03, 1.7668e-03)
Epoch 123/1500 - 0.3211 sec/step - loss: 1.1351e-02  (9.5434e-03, 1.8072e-03)
Epoch 124/1500 - 0.3194 sec/step - loss: 1.1170e-02  (9.3682e-03, 1.8019e-03)
Epoch 125/1500 - 0.3180 sec/step - loss: 1.0386e-02  (8.7770e-03, 1.6086e-03)
Epoch 126/1500 - 0.3175 sec/step - loss: 1.0631e-02  (8.9354e-03, 1.6959e-03)
Epoch 127/1500 - 0.3182 sec/step - loss: 1.0786e-02  (9.0840e-03, 1.7017e-03)
Epoch 128/1500 - 0.3192 sec/step - loss: 1.0689e-02  (8.9967e-03, 1.6921e-03)
Epoch 129/1500 - 0.3179 sec/step - loss: 1.0444e-02  (8.7852e-03, 1.6589e-03)
Epoch 130/1500 - 0.3197 sec/step - loss: 1.0928e-02  (9.2257e-03, 1.7020e-03)
Epoch 131/1500 - 0.3188 sec/step - loss: 1.1369e-02  (9.6160e-03, 1.7531e-03)
Epoch 132/1500 - 0.3209 sec/step - loss: 1.1054e-02  (9.2693e-03, 1.7847e-03)
Epoch 133/1500 - 0.3177 sec/step - loss: 1.0760e-02  (9.0347e-03, 1.7250e-03)
Epoch 134/1500 - 0.3207 sec/step - loss: 1.0783e-02  (9.1116e-03, 1.6712e-03)
Epoch 135/1500 - 0.3184 sec/step - loss: 1.0925e-02  (9.2267e-03, 1.6983e-03)
Epoch 136/1500 - 0.3207 sec/step - loss: 1.1041e-02  (9.2386e-03, 1.8023e-03)
Epoch 137/1500 - 0.3177 sec/step - loss: 1.1235e-02  (9.4876e-03, 1.7476e-03)
Epoch 138/1500 - 0.3205 sec/step - loss: 1.0859e-02  (9.1498e-03, 1.7092e-03)
Epoch 139/1500 - 0.3175 sec/step - loss: 1.1166e-02  (9.3146e-03, 1.8519e-03)
Epoch 140/1500 - 0.3200 sec/step - loss: 1.0896e-02  (9.1200e-03, 1.7755e-03)
Epoch 141/1500 - 0.3173 sec/step - loss: 1.0535e-02  (8.7936e-03, 1.7413e-03)
Epoch 142/1500 - 0.3200 sec/step - loss: 1.0742e-02  (8.9922e-03, 1.7494e-03)
Epoch 143/1500 - 0.3183 sec/step - loss: 1.0597e-02  (8.8733e-03, 1.7235e-03)
Epoch 144/1500 - 0.3201 sec/step - loss: 1.1417e-02  (9.6066e-03, 1.8099e-03)
Epoch 145/1500 - 0.3201 sec/step - loss: 1.0197e-02  (8.4918e-03, 1.7050e-03)
